Time, xOrient, yOrient, zOrient, xGyro, yGyro, zGyro, xAccel, yAccel, zAccel, CalS, CalA, CalG, CalM, Depth
12157, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0
12190, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0
12223, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0
12256, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0
12305, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0
12337, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0
12372, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0
12450, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0
12484, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0
12517, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0
12550, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0
12582, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0
12616, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0
12654, 0.00, 0.00, 0.00, -2.00, 0.44, 0.37, -0.38, 1.24, 10.39, 0, 3, 3, 3, 0
12691, 0.00, 0.00, 0.00, -2.00, 0.44, 0.63, -0.97, 0.86, 9.23, 0, 3, 3, 3, 0
12725, 62.44, -7.00, -5.50, 4.88, -0.44, -1.06, -0.41, 1.59, 10.28, 0, 3, 3, 3, 0
12762, 62.44, -7.00, -5.44, 3.00, 0.25, -0.44, -0.59, 1.34, 10.27, 0, 3, 3, 3, 0
12795, 62.44, -7.00, -5.44, 2.44, 0.12, -0.44, -0.84, 0.78, 9.02, 0, 3, 3, 3, 0
12832, 62.44, -7.00, -5.44, 3.25, -0.12, -0.63, -0.52, 0.95, 9.96, 0, 3, 3, 3, 0
12870, 62.44, -7.00, -5.44, -1.37, 0.19, 0.75, -0.93, 0.41, 8.59, 0, 3, 3, 3, 0
12904, 62.44, -7.00, -5.44, -3.06, -0.19, 0.44, -0.43, 1.13, 10.10, 0, 3, 3, 3, 0
12938, 62.44, -7.00, -5.44, -2.69, -0.06, 0.63, -0.59, 0.51, 9.57, 0, 3, 3, 3, 0
12974, 62.44, -7.00, -5.44, -4.44, 0.00, 0.69, -0.87, 0.17, 8.70, 0, 3, 3, 3, 0
13007, 62.44, -7.00, -5.44, 0.31, -0.31, -0.56, -0.40, 0.56, 10.04, 0, 3, 3, 3, 0
13086, 62.44, -7.00, -5.44, -1.50, -0.06, 0.06, -1.01, 0.26, 8.83, 0, 3, 3, 3, 0
13125, 62.44, -7.00, -5.44, -3.31, 0.37, 0.50, -0.68, 0.64, 9.37, 0, 3, 3, 3, 0
13160, 62.44, -7.00, -5.44, 0.44, -0.25, -0.56, -0.51, 0.46, 9.83, 0, 3, 3, 3, 0
13193, 62.44, -7.00, -5.44, 2.19, -0.06, -0.63, -0.34, 1.42, 10.39, 0, 3, 3, 3, 0
13228, 62.44, -7.00, -5.44, -0.75, 0.12, 0.00, -0.48, 0.73, 10.10, 0, 3, 3, 3, 0
13264, 62.44, -7.00, -5.44, 4.19, -0.06, -0.81, -0.55, 1.23, 9.78, 0, 3, 3, 3, 0
13298, 62.44, -7.00, -5.44, -1.88, 0.56, 0.56, -0.81, 0.61, 9.27, 0, 3, 3, 3, 0
13337, 62.44, -7.00, -5.38, 0.75, 0.12, 0.12, -0.54, 0.79, 9.79, 0, 3, 3, 3, 0
13371, 62.44, -7.00, -5.38, 1.69, -0.12, -0.12, -1.04, 0.86, 8.93, 0, 3, 3, 3, 0
13405, 62.44, -7.00, -5.38, -3.06, 0.63, 0.63, -0.89, 0.28, 8.96, 0, 3, 3, 3, 0
13438, 62.44, -7.00, -5.38, 3.19, -0.12, -0.56, -0.62, 1.37, 10.05, 0, 3, 3, 3, 0
13475, 62.44, -7.00, -5.38, 0.00, -0.12, -0.19, -0.53, 0.53, 9.85, 0, 3, 3, 3, 0
13509, 62.44, -7.00, -5.38, -2.44, -0.31, 0.44, -0.37, 1.01, 9.98, 0, 3, 3, 3, 0
13542, 62.44, -7.00, -5.38, 0.12, -0.50, -0.50, -0.27, 0.57, 9.94, 0, 3, 3, 3, 0
13579, 62.44, -7.00, -5.38, -5.13, 0.00, 0.50, -0.82, 0.37, 9.24, 0, 3, 3, 3, 0
13616, 62.44, -7.00, -5.38, -1.94, 0.25, 0.44, -0.82, 0.44, 9.05, 0, 3, 3, 3, 0
13694, 62.44, -7.00, -5.38, 0.56, -0.50, -0.88, -0.45, 0.70, 10.11, 0, 3, 3, 3, 0
13729, 62.50, -7.00, -5.38, -2.19, -0.25, -7.44, -1.41, 0.61, 8.76, 0, 3, 3, 3, 0
13765, 63.19, -7.06, -5.31, 0.56, -0.63, -28.69, -1.18, 1.89, 9.82, 0, 3, 3, 3, 0
13799, 64.62, -7.13, -5.31, 9.44, -1.06, -55.25, -0.37, 2.46, 11.45, 0, 3, 3, 3, 0
13838, 67.25, -7.25, -5.25, 4.56, -4.19, -71.81, -0.85, -0.89, 7.49, 0, 3, 3, 3, 0
13871, 69.06, -7.38, -5.00, 19.19, -0.44, -60.25, 0.00, 2.65, 11.04, 0, 3, 3, 3, 0
13903, 71.37, -7.44, -4.88, 1.06, -2.50, -57.38, 0.04, 0.91, 10.44, 0, 3, 3, 3, 0
13939, 72.81, -7.56, -4.81, 2.19, -3.06, -50.00, -0.89, -0.11, 8.03, 0, 3, 3, 3, 0
13972, 74.56, -7.63, -4.63, 7.75, -4.38, -43.31, -0.69, 1.16, 10.30, 0, 3, 3, 3, 0
14005, 75.69, -7.56, -4.44, 1.75, -5.56, -37.25, -0.67, -0.32, 8.78, 0, 3, 3, 3, 0
14042, 76.69, -7.50, -4.31, -6.06, -2.88, -33.19, -0.79, 0.81, 9.49, 0, 3, 3, 3, 0
14080, 77.69, -7.50, -4.19, -3.38, -1.06, -18.69, -0.33, 1.13, 10.59, 0, 3, 3, 3, 0
14115, 78.37, -7.56, -4.19, 0.25, -0.31, -21.94, -1.13, -0.14, 8.13, 0, 3, 3, 3, 0
14150, 79.12, -7.63, -4.13, 1.88, -1.12, -27.69, -0.16, -0.03, 9.45, 0, 3, 3, 3, 0
14186, 79.69, -7.63, -4.06, 5.69, -0.75, -1.88, -0.92, 0.31, 9.12, 0, 3, 3, 3, 0
14222, 79.69, -7.63, -4.13, 3.31, -0.94, -0.81, -0.43, 0.68, 10.12, 0, 3, 3, 3, 0
14262, 79.69, -7.63, -4.13, 0.50, -0.63, -0.50, -1.03, -0.33, 8.23, 0, 3, 3, 3, 0
14342, 78.94, -7.63, -4.19, -5.38, -2.38, 12.50, -1.14, 0.78, 8.75, 0, 3, 3, 3, 0
14393, 78.87, -7.63, -4.13, -0.12, 3.38, 10.81, -0.51, -0.07, 9.23, 0, 3, 3, 3, 0
14430, 78.31, -7.69, -4.25, -0.81, 3.06, 13.25, -0.74, 0.61, 9.07, 0, 3, 3, 3, 0
14465, 77.87, -7.69, -4.31, -1.25, 1.75, 9.69, -0.92, 0.58, 9.09, 0, 3, 3, 3, 0
14498, 77.50, -7.63, -4.31, 0.63, 0.50, 13.56, -0.53, 0.97, 9.96, 0, 3, 3, 3, 0
14535, 77.00, -7.69, -4.38, -0.25, 1.81, 9.81, -1.18, 1.09, 8.98, 0, 3, 3, 3, 0
14572, 76.81, -7.69, -4.38, -6.00, -0.44, 4.88, -0.97, 0.22, 8.70, 0, 3, 3, 3, 0
14607, 76.75, -7.69, -4.44, 0.25, -0.69, -0.06, -0.61, 0.64, 9.97, 0, 3, 3, 3, 0
14643, 76.75, -7.69, -4.44, -1.31, -0.63, 0.00, -0.83, 0.18, 9.16, 0, 3, 3, 3, 0
14679, 76.75, -7.69, -4.38, -1.37, -0.31, -0.19, -0.41, 0.35, 9.50, 0, 3, 3, 3, 0
14713, 76.75, -7.69, -4.44, 4.63, -0.63, -1.19, -0.37, 1.11, 10.77, 0, 3, 3, 3, 0
14747, 76.75, -7.63, -4.38, -5.19, 0.69, 0.81, -1.02, -0.03, 8.45, 0, 3, 3, 3, 0
14785, 76.75, -7.63, -4.38, 4.44, -0.56, -1.19, -0.51, 1.09, 10.57, 0, 3, 3, 3, 0
14822, 76.75, -7.63, -4.38, 0.44, 0.31, 0.00, -1.00, 0.58, 9.15, 0, 3, 3, 3, 0
14856, 76.75, -7.63, -4.31, 3.06, -0.37, -0.75, -0.69, 1.20, 10.35, 0, 3, 3, 3, 0
14893, 76.75, -7.63, -4.38, 8.13, -0.12, -1.12, -0.64, 1.87, 10.75, 0, 3, 3, 3, 0
14974, 76.69, -7.69, -4.38, 11.38, 0.88, -1.00, -0.59, -1.11, 7.50, 0, 3, 3, 3, 0
15010, 75.69, -7.56, -4.25, -7.31, -0.94, 60.13, 3.58, 0.44, 8.79, 0, 3, 3, 3, 0
15047, 71.25, -7.38, -4.44, -16.62, 0.94, 123.62, -3.97, 2.25, 10.14, 0, 3, 3, 3, 0
15085, 68.87, -7.25, -4.44, -1.00, 0.94, 63.63, -2.84, 1.16, 9.64, 0, 3, 3, 3, 0
15122, 67.62, -7.13, -4.38, -7.50, 0.81, 24.19, -0.75, 0.55, 8.99, 0, 3, 3, 3, 0
15157, 66.94, -7.13, -4.38, -3.38, -1.44, 23.12, -0.64, 0.76, 10.04, 0, 3, 3, 3, 0
15195, 65.50, -7.00, -4.25, -6.25, 0.75, 51.25, -1.13, -0.13, 9.30, 0, 3, 3, 3, 0
15232, 63.63, -6.94, -4.25, -6.63, 3.56, 41.25, -1.56, 0.33, 9.40, 0, 3, 3, 3, 0
15269, 62.69, -6.94, -4.38, 8.50, 0.25, 16.50, -0.77, 1.40, 10.58, 0, 3, 3, 3, 0
15304, 62.25, -6.94, -4.44, 4.06, 1.37, 11.38, -0.26, 1.33, 10.37, 0, 3, 3, 3, 0
15339, 61.63, -6.94, -4.50, 5.13, 1.94, 18.31, 0.25, 1.31, 11.28, 0, 3, 3, 3, 0
15376, 61.00, -6.88, -4.63, 4.88, -0.81, 24.25, 0.14, 0.40, 10.54, 0, 3, 3, 3, 0
15411, 59.75, -6.88, -4.75, 0.81, -0.25, 31.81, -1.53, 2.70, 11.14, 0, 3, 3, 3, 0
15448, 59.19, -6.81, -4.88, 5.00, 0.25, 10.13, -1.21, 0.18, 8.55, 0, 3, 3, 3, 0
15488, 59.00, -6.81, -4.88, -4.00, -0.12, 4.63, -0.12, 1.99, 10.15, 0, 3, 3, 3, 0
15524, 59.00, -6.81, -4.88, 0.06, 0.00, -0.50, -0.52, 0.80, 9.88, 0, 3, 3, 3, 0
15560, 59.06, -6.81, -4.94, -7.75, -0.75, -8.31, -0.79, -0.09, 8.59, 0, 3, 3, 3, 0
15639, 59.56, -6.81, -4.88, -3.06, 0.25, -2.13, -0.39, 0.44, 9.45, 0, 3, 3, 3, 0
15676, 59.56, -6.81, -4.88, 1.00, -0.19, -1.25, -0.33, 0.78, 10.30, 0, 3, 3, 3, 0
15710, 59.63, -6.81, -4.88, 4.56, -0.25, -1.56, -0.94, -0.24, 8.37, 0, 3, 3, 3, 0
15749, 59.63, -6.81, -4.81, -4.50, 0.06, 0.31, -0.51, 0.25, 9.50, 0, 3, 3, 3, 0
15781, 59.63, -6.81, -4.88, 0.25, 0.00, -0.44, -0.97, 0.06, 9.05, 0, 3, 3, 3, 0
15817, 59.63, -6.81, -4.81, -1.00, 0.25, 0.25, -0.89, 0.18, 8.64, 0, 3, 3, 3, 0
15851, 59.63, -6.81, -4.81, 5.88, -0.19, -1.31, -0.40, 1.33, 10.65, 0, 3, 3, 3, 0
15886, 59.63, -6.81, -4.88, 6.06, -0.12, -1.00, -0.87, 1.03, 9.53, 0, 3, 3, 3, 0
15921, 59.63, -6.81, -4.81, -0.94, 0.31, 0.56, -0.38, 1.38, 10.39, 0, 3, 3, 3, 0
15953, 59.63, -6.81, -4.81, 3.75, -0.31, -0.81, -0.44, 1.81, 10.72, 0, 3, 3, 3, 0
15990, 59.69, -6.75, -4.81, 3.81, -0.12, -0.81, -0.83, 0.32, 8.48, 0, 3, 3, 3, 0
16026, 59.63, -6.75, -4.75, -6.06, 0.06, 1.00, -0.57, 1.00, 9.94, 0, 3, 3, 3, 0
16059, 59.63, -6.75, -4.75, -1.56, -0.44, -0.25, -0.53, 0.91, 10.32, 0, 3, 3, 3, 0
16093, 59.63, -6.75, -4.69, -0.50, -0.06, -0.06, -1.01, -0.49, 8.23, 0, 3, 3, 3, 0
16130, 59.69, -6.75, -4.69, 2.88, -0.19, -0.94, -0.51, 0.49, 9.97, 0, 3, 3, 3, 0
16163, 59.63, -6.75, -4.63, -8.13, 0.31, 1.12, -0.95, -0.27, 8.49, 0, 3, 3, 3, 0
16245, 59.63, -6.75, -4.63, -6.00, 0.00, 0.81, -0.97, -0.75, 7.89, 0, 3, 3, 3, 0
16282, 59.69, -6.75, -4.69, 1.63, 0.00, -0.63, -0.38, 0.98, 10.59, 0, 3, 3, 3, 0
16316, 59.69, -6.75, -4.63, -7.19, 0.19, 1.25, -0.69, 0.57, 9.67, 0, 3, 3, 3, 0
16352, 59.69, -6.75, -4.63, -5.81, 0.31, 0.63, -1.06, 0.09, 8.59, 0, 3, 3, 3, 0
16387, 59.69, -6.75, -4.69, 0.06, 0.06, -0.06, -0.38, 1.50, 10.87, 0, 3, 3, 3, 0
16420, 59.69, -6.75, -4.69, -2.63, 0.31, 0.56, -0.62, 1.29, 9.90, 0, 3, 3, 3, 0
16457, 59.69, -6.75, -4.69, 7.06, -0.12, -1.50, -0.19, 1.15, 9.75, 0, 3, 3, 3, 0
16506, 59.69, -6.75, -4.69, 3.00, -0.19, -0.75, -0.37, 0.72, 10.41, 0, 3, 3, 3, 0
16543, 59.69, -6.75, -4.69, 3.94, 0.12, -1.00, -0.72, 0.89, 10.20, 0, 3, 3, 3, 0
16578, 59.69, -6.75, -4.63, -3.81, 0.06, 0.19, -0.54, 0.12, 9.27, 0, 3, 3, 3, 0
16612, 59.69, -6.75, -4.69, 5.69, -0.37, -1.19, -0.18, 1.64, 10.88, 0, 3, 3, 3, 0
16646, 59.69, -6.75, -4.63, -5.13, 0.12, 0.75, -0.81, -0.06, 8.49, 0, 3, 3, 3, 0
16685, 59.69, -6.75, -4.63, -0.06, -0.06, 0.25, -0.26, 1.29, 10.63, 0, 3, 3, 3, 0
16718, 59.69, -6.75, -4.69, 3.13, 0.19, -0.25, -0.69, 1.09, 9.49, 0, 3, 3, 3, 0
16754, 59.69, -6.75, -4.63, -4.69, 0.31, 1.12, -0.91, 0.29, 8.35, 0, 3, 3, 3, 0
16789, 59.69, -6.75, -4.69, 7.75, -0.19, -1.19, -0.46, 1.84, 10.75, 0, 3, 3, 3, 0
16825, 59.69, -6.75, -4.63, 0.88, 0.12, 0.12, -0.71, 0.79, 8.91, 0, 3, 3, 3, 0
16905, 59.69, -6.75, -4.63, -4.63, 0.19, 0.94, -1.01, 0.04, 8.26, 0, 3, 3, 3, 0
16940, 59.69, -6.75, -4.69, 7.06, 0.06, -1.12, -0.23, 1.75, 10.75, 0, 3, 3, 3, 0
16977, 59.69, -6.75, -4.63, -4.25, 0.25, 1.06, -0.91, 0.25, 8.09, 0, 3, 3, 3, 0
17011, 59.69, -6.75, -4.56, -4.19, -0.06, 0.63, -0.60, 0.11, 8.94, 0, 3, 3, 3, 0
