Time, xOrient, yOrient, zOrient, xGyro, yGyro, zGyro, xAccel, yAccel, zAccel, CalS, CalA, CalG, CalM, Depth
17908,81.25,2.69,4.88,-0.94,-1,1.25,0.84,0.63,9.27,2,3,3,3,-10
17942,81.19,2.88,4.63,-0.37,-2.38,1.63,1.33,0.07,9.88,2,3,3,3,-10
17978,81.5,2.88,4.69,0,0.19,0,0.98,0.42,9.72,2,3,3,3,-10
18015,81.81,2.88,4.63,-0.81,0.44,0.06,0.79,0.43,9.29,2,3,3,3,-10
18051,82.19,2.88,4.69,0.5,0.06,0,0.84,0.55,9.65,2,3,3,3,-10
18084,82.19,3.06,4.25,-1.37,1.12,-0.06,0.91,0.27,9.35,2,3,3,3,-10
18119,82.62,3.19,3.81,1.06,0.56,-0.37,1.04,0.59,9.59,2,3,3,3,-10
18154,82.94,3.44,3.25,-0.88,1,0.06,0.86,0.34,9.06,2,3,3,3,-10
18187,82.94,3.44,3.25,0.56,-1.44,-0.12,0.87,0.5,9.69,2,3,3,3,-10
18253,83.44,3.56,2.94,0.56,-0.19,-0.25,0.88,0.33,9.35,2,3,3,3,-10
18287,83.44,3.88,2.31,0.75,-1.12,-0.31,1.01,0.48,9.52,2,3,3,3,-10
18323,83.81,4,2.06,2,-0.63,-0.44,0.79,0.53,9.73,2,3,3,3,-10
18358,84,4,2.06,0.31,0.56,-0.12,0.9,0.52,9.71,2,3,3,3,-10
18391,84,4.13,1.75,-0.44,1.94,0,0.93,0.87,9.59,2,3,3,3,-10
18425,84.19,4.13,1.69,1.44,-0.63,-0.5,1.19,0.65,10.23,2,3,3,3,-10
18461,84.31,4.06,1.75,-3.94,3.25,0.75,0.92,0.42,9,2,3,3,3,-10
18493,84.31,4.06,1.75,1.31,-1.88,0.25,0.75,0.58,9.18,2,3,3,3,-10
18527,84.69,4.13,1.75,-1.69,-1.12,-0.06,1.12,0.45,9.41,2,3,3,3,-10
18564,85.06,4.19,1.75,0.44,-2.06,0.25,0.84,0.28,9.38,2,3,3,3,-10
18597,85.12,4.25,1.75,-1.06,-0.88,0.25,0.96,0.34,9.71,2,3,3,3,-10
18634,85.12,4.25,1.75,-1.81,1,0.19,0.99,0.21,9.13,2,3,3,3,-10
18668,85.44,4.25,1.75,1.06,0.5,0,0.9,0.57,9.95,2,3,3,3,-10
18705,85.56,4.13,1.81,-2.25,4,-0.06,0.99,0.4,9.41,2,3,3,3,-10
18739,85.56,4,1.81,1.12,1.37,-0.31,0.82,0.49,9.25,2,3,3,3,-10
18776,85.75,4,1.81,-3,2.13,0.12,0.87,0.33,9.26,2,3,3,3,-10
18809,85.81,3.94,1.75,1.69,-1,-0.19,0.9,0.47,9.04,2,3,3,3,-10
18843,85.81,4,1.75,0.69,-2.06,-0.31,1.08,0.63,9.85,2,3,3,3,-10
18878,85.87,4,1.75,0.12,-0.56,-0.44,1.18,0.44,9.04,2,3,3,3,-10
18915,86,4.13,1.69,5.19,-3.38,-0.81,1.51,0.97,10.44,2,3,3,3,-10
18946,86,4.13,1.75,-1.63,1.25,0.12,1.25,0.35,9.47,3,3,3,3,-10
18977,86,4.06,1.75,0.88,-0.25,0.25,1.15,0.37,9.27,3,3,3,3,-10
19007,86.06,4.13,1.75,0.69,-1.63,-0.06,1.16,0.45,9.55,3,3,3,3,-10
19039,86.06,4.19,1.75,0.06,-1.25,-0.25,1.18,0.31,9.22,3,3,3,3,-10
19095,86,4.56,1.37,0,-0.25,1.88,1.26,0.57,9.57,3,3,3,3,-10
19128,86,4.56,1.37,0.75,0.06,0.5,1.19,0.66,9.81,3,3,3,3,-10
19167,86,4.69,1.06,-1.31,2.25,0.37,1.2,0.51,9.44,3,3,3,3,-10
